dataset_format,power_kW,class_id,class_name,fault_type,severity_rank,bypass_resistance_ohm,severity_percent,sample_rate_hz,samples,channels,signal_file,source_zip,source_tdms,source_crc32,anti_alias_filter
pmsm_tdms_v2_recording_index,1.0kW,0,healthy,intercoil,0,,0.0,10000,1200000,cDAQ1Mod2/ai0;cDAQ1Mod2/ai2;cDAQ1Mod2/ai3,processed_v2/1.0kW/class_00_healthy.npy,1.0kW.zip,current/1000W_0_00_current_intercoil.tdms,9aa9720c,scipy.signal.resample_poly default zero-phase FIR
pmsm_tdms_v2_recording_index,1.0kW,1,intercoil_L1,intercoil,1,6.0,0.68,10000,1221991,cDAQ1Mod2/ai0;cDAQ1Mod2/ai2;cDAQ1Mod2/ai3,processed_v2/1.0kW/class_01_intercoil_L1.npy,1.0kW.zip,current/1000W_0_68_current_intercoil.tdms,c7cf0e41,scipy.signal.resample_poly default zero-phase FIR
pmsm_tdms_v2_recording_index,1.0kW,2,intercoil_L2,intercoil,2,5.0,0.81,10000,1257990,cDAQ1Mod2/ai0;cDAQ1Mod2/ai2;cDAQ1Mod2/ai3,processed_v2/1.0kW/class_02_intercoil_L2.npy,1.0kW.zip,current/1000W_0_81_current_intercoil.tdms,8e4eefdd,scipy.signal.resample_poly default zero-phase FIR
pmsm_tdms_v2_recording_index,1.0kW,3,intercoil_L3,intercoil,3,4.0,1.01,10000,1200000,cDAQ1Mod2/ai0;cDAQ1Mod2/ai2;cDAQ1Mod2/ai3,processed_v2/1.0kW/class_03_intercoil_L3.npy,1.0kW.zip,current/1000W_1.01_current_intercoil.tdms,7af11658,scipy.signal.resample_poly default zero-phase FIR
pmsm_tdms_v2_recording_index,1.0kW,4,intercoil_L4,intercoil,4,3.0,1.34,10000,1492990,cDAQ1Mod2/ai0;cDAQ1Mod2/ai2;cDAQ1Mod2/ai3,processed_v2/1.0kW/class_04_intercoil_L4.npy,1.0kW.zip,current/1000W_1_34_current_intercoil.tdms,d5a08766,scipy.signal.resample_poly default zero-phase FIR
pmsm_tdms_v2_recording_index,1.0kW,5,intercoil_L5,intercoil,5,2.0,2.0,10000,1200000,cDAQ1Mod2/ai0;cDAQ1Mod2/ai2;cDAQ1Mod2/ai3,processed_v2/1.0kW/class_05_intercoil_L5.npy,1.0kW.zip,current/1000W_2_00_current_intercoil.tdms,fce4fe92,scipy.signal.resample_poly default zero-phase FIR
pmsm_tdms_v2_recording_index,1.0kW,6,intercoil_L6,intercoil,6,1.0,3.93,10000,1342991,cDAQ1Mod2/ai0;cDAQ1Mod2/ai2;cDAQ1Mod2/ai3,processed_v2/1.0kW/class_06_intercoil_L6.npy,1.0kW.zip,current/1000W_3_93_current_intercoil.tdms,2439df90,scipy.signal.resample_poly default zero-phase FIR
pmsm_tdms_v2_recording_index,1.0kW,7,intercoil_L7,intercoil,7,0.5,7.56,10000,1200000,cDAQ1Mod2/ai0;cDAQ1Mod2/ai2;cDAQ1Mod2/ai3,processed_v2/1.0kW/class_07_intercoil_L7.npy,1.0kW.zip,current/1000W_7_56_current_intercoil.tdms,83d5f114,scipy.signal.resample_poly default zero-phase FIR
pmsm_tdms_v2_recording_index,1.0kW,8,interturn_L1,interturn,1,6.0,2.26,10000,1236990,cDAQ1Mod2/ai0;cDAQ1Mod2/ai2;cDAQ1Mod2/ai3,processed_v2/1.0kW/class_08_interturn_L1.npy,1.0kW.zip,current/1000W_2_26_current_interturn.tdms,f8000fab,scipy.signal.resample_poly default zero-phase FIR
pmsm_tdms_v2_recording_index,1.0kW,9,interturn_L2,interturn,2,5.0,2.7,10000,1234990,cDAQ1Mod2/ai0;cDAQ1Mod2/ai2;cDAQ1Mod2/ai3,processed_v2/1.0kW/class_09_interturn_L2.npy,1.0kW.zip,current/1000W_2_70_current_interturn.tdms,b47833a0,scipy.signal.resample_poly default zero-phase FIR
