dataset_format,power_kW,class_id,class_name,fault_type,severity_rank,bypass_resistance_ohm,severity_percent,sample_rate_hz,samples,channels,signal_file,source_zip,source_tdms,source_crc32,anti_alias_filter
pmsm_tdms_v2_recording_index,3.0kW,0,healthy,intercoil,0,,0.0,10000,1200000,cDAQ1Mod2/ai0;cDAQ1Mod2/ai2;cDAQ1Mod2/ai3,processed_v2/3.0kW/class_00_healthy.npy,3.0kW.zip,current/3000W_0_00_current_intercoil.tdms,179b848d,scipy.signal.resample_poly default zero-phase FIR
pmsm_tdms_v2_recording_index,3.0kW,1,intercoil_L1,intercoil,1,6.0,2.49,10000,1200000,cDAQ5Mod1/ai0;cDAQ5Mod1/ai1;cDAQ5Mod1/ai3,processed_v2/3.0kW/class_01_intercoil_L1.npy,3.0kW.zip,current/3000W_2_49_current_intercoil.tdms,3c5ae1a8,scipy.signal.resample_poly default zero-phase FIR
pmsm_tdms_v2_recording_index,3.0kW,2,intercoil_L2,intercoil,2,5.0,2.98,10000,1200000,cDAQ5Mod1/ai0;cDAQ5Mod1/ai1;cDAQ5Mod1/ai3,processed_v2/3.0kW/class_02_intercoil_L2.npy,3.0kW.zip,current/3000W_2_98_current_intercoil.tdms,79d33130,scipy.signal.resample_poly default zero-phase FIR
pmsm_tdms_v2_recording_index,3.0kW,3,intercoil_L3,intercoil,3,4.0,3.69,10000,1200000,cDAQ5Mod1/ai0;cDAQ5Mod1/ai1;cDAQ5Mod1/ai3,processed_v2/3.0kW/class_03_intercoil_L3.npy,3.0kW.zip,current/3000W_3_69_current_intercoil.tdms,d6048c50,scipy.signal.resample_poly default zero-phase FIR
pmsm_tdms_v2_recording_index,3.0kW,4,intercoil_L4,intercoil,4,3.0,4.86,10000,1200000,cDAQ5Mod1/ai0;cDAQ5Mod1/ai1;cDAQ5Mod1/ai3,processed_v2/3.0kW/class_04_intercoil_L4.npy,3.0kW.zip,current/3000W_4_86_current_intercoil.tdms,ab4ca14c,scipy.signal.resample_poly default zero-phase FIR
pmsm_tdms_v2_recording_index,3.0kW,5,intercoil_L5,intercoil,5,2.0,7.12,10000,1200000,cDAQ5Mod1/ai0;cDAQ5Mod1/ai1;cDAQ5Mod1/ai3,processed_v2/3.0kW/class_05_intercoil_L5.npy,3.0kW.zip,current/3000W_7_12_current_intercoil.tdms,71953769,scipy.signal.resample_poly default zero-phase FIR
pmsm_tdms_v2_recording_index,3.0kW,6,intercoil_L6,intercoil,6,1.0,13.3,10000,1200000,cDAQ5Mod1/ai0;cDAQ5Mod1/ai1;cDAQ5Mod1/ai3,processed_v2/3.0kW/class_06_intercoil_L6.npy,3.0kW.zip,current/3000W_13_30_current_intercoil.tdms,a53553e2,scipy.signal.resample_poly default zero-phase FIR
pmsm_tdms_v2_recording_index,3.0kW,7,intercoil_L7,intercoil,7,0.5,23.48,10000,1200000,cDAQ5Mod1/ai0;cDAQ5Mod1/ai1;cDAQ5Mod1/ai3,processed_v2/3.0kW/class_07_intercoil_L7.npy,3.0kW.zip,current/3000W_23_48_current_intercoil.tdms,59530ce5,scipy.signal.resample_poly default zero-phase FIR
pmsm_tdms_v2_recording_index,3.0kW,8,interturn_L1,interturn,1,6.0,1.78,10000,1375990,cDAQ1Mod2/ai0;cDAQ1Mod2/ai2;cDAQ1Mod2/ai3,processed_v2/3.0kW/class_08_interturn_L1.npy,3.0kW.zip,current/3000W_1_78_current_interturn.tdms,aa9bc784,scipy.signal.resample_poly default zero-phase FIR
pmsm_tdms_v2_recording_index,3.0kW,9,interturn_L2,interturn,2,5.0,2.13,10000,1375991,cDAQ1Mod2/ai0;cDAQ1Mod2/ai2;cDAQ1Mod2/ai3,processed_v2/3.0kW/class_09_interturn_L2.npy,3.0kW.zip,current/3000W_2_13_current_interturn.tdms,cbdd897a,scipy.signal.resample_poly default zero-phase FIR
pmsm_tdms_v2_recording_index,3.0kW,10,interturn_L3,interturn,3,4.0,2.65,10000,1200000,cDAQ1Mod2/ai0;cDAQ1Mod2/ai2;cDAQ1Mod2/ai3,processed_v2/3.0kW/class_10_interturn_L3.npy,3.0kW.zip,current/3000W_2_65_current_interturn.tdms,d5381c88,scipy.signal.resample_poly default zero-phase FIR
pmsm_tdms_v2_recording_index,3.0kW,11,interturn_L4,interturn,4,3.0,3.5,10000,1337991,cDAQ1Mod2/ai0;cDAQ1Mod2/ai2;cDAQ1Mod2/ai3,processed_v2/3.0kW/class_11_interturn_L4.npy,3.0kW.zip,current/3000W_3_50_current_interturn.tdms,ed765e7c,scipy.signal.resample_poly default zero-phase FIR
pmsm_tdms_v2_recording_index,3.0kW,12,interturn_L5,interturn,5,2.0,5.16,10000,1200000,cDAQ1Mod2/ai0;cDAQ1Mod2/ai2;cDAQ1Mod2/ai3,processed_v2/3.0kW/class_12_interturn_L5.npy,3.0kW.zip,current/3000W_5_16_current_interturn.tdms,65d3d083,scipy.signal.resample_poly default zero-phase FIR
pmsm_tdms_v2_recording_index,3.0kW,13,interturn_L6,interturn,6,1.0,9.81,10000,1282990,cDAQ1Mod2/ai0;cDAQ1Mod2/ai2;cDAQ1Mod2/ai3,processed_v2/3.0kW/class_13_interturn_L6.npy,3.0kW.zip,current/3000W_9_81_current_interturn.tdms,8a02c26e,scipy.signal.resample_poly default zero-phase FIR
pmsm_tdms_v2_recording_index,3.0kW,14,interturn_L7,interturn,7,0.5,17.86,10000,1200000,cDAQ1Mod2/ai0;cDAQ1Mod2/ai2;cDAQ1Mod2/ai3,processed_v2/3.0kW/class_14_interturn_L7.npy,3.0kW.zip,current/3000W_17_86_current_interturn.tdms,90ea483b,scipy.signal.resample_poly default zero-phase FIR
